2.845774	0.314644
3.031250	0.837705
3.109375	0.825077
3.171875	0.924571
3.265625	0.300035
3.375000	0.314644
3.468750	0.337009
3.562500	0.598524
3.658512	0.814762
3.765625	0.898622
3.859375	0.935488
4.481683	1.669183
4.906250	0.942418
5.160839	2.051464
5.572740	1.510240
6.225532	4.006782
6.896727	4.662352
7.953125	0.995068
8.096561	1.346561
8.220920	0.080295
8.312500	0.944404
8.500000	0.973752
8.602269	2.992894
8.676750	0.765980
8.800964	2.941589
8.921875	0.738037
9.046875	0.028429
9.187500	0.081012
9.421875	0.943883
9.703125	0.057006
9.859375	0.013138
10.015625	0.102706
10.160514	2.535514
10.464109	7.995359
11.070175	6.788925
11.738239	7.128864
12.389493	5.092618
13.147813	5.944688
13.717831	1.014706
13.859375	0.954848
13.978818	6.760068
14.171875	0.831802
14.334135	6.209135
14.515123	5.452623
14.687500	0.067543
14.966203	7.684953
15.574890	3.309265
16.169121	2.903496
16.703125	0.991628
16.831374	2.909499
16.966996	0.857596
17.078125	0.870914
17.167052	0.029036
17.310655	3.045030
17.521649	11.912274
17.714513	2.620763
17.906250	0.036885
18.045015	2.529390
18.159834	0.947309
18.343750	0.858391
18.500000	0.796469
18.645614	1.036239
18.781250	0.695604
18.921494	2.030869
19.046875	0.935184
19.174117	7.611617
19.305530	0.852405
19.390625	0.866360
19.593750	0.117634
19.718750	0.117118
19.859375	0.134272
